Data/Hora;Par;Valor Operacao (USD);Spot Entrada;Spot Saida;PnL Spot (USD);Perp Entrada;Perp Saida;PnL Futuros (USD);Spread Mercado (USD);Funding Coletado (USD);PnL Total Realizado (USD)
30/07/2026, 14:53;XPIN;12,3800;0,0015;0,0014;-0,0384;0,0015;0,0015;0,0340;-0,0044;0,0000;-0,0044
30/07/2026, 17:08;BLUAI;40,9128;0,0119;0,0117;-0,5870;0,0120;0,0118;0,6210;0,0340;0,0020;0,0360
30/07/2026, 17:09;LYN;22,5034;0,0340;0,0340;-0,0199;0,0341;0,0342;-0,0264;-0,0462;0,0106;-0,0357
30/07/2026, 17:10;TAC;6,7962;0,0032;0,0032;0,0021;0,0032;0,0032;-0,0042;-0,0021;0,0003;-0,0018
31/07/2026, 11:29;BTW;70,0000;0,0845;0,0863;1,4903;0,0846;0,0860;-1,2002;0,2901;0,0645;0,3546
31/07/2026, 15:04;ZIG;14,2000;0,0403;0,0405;0,0737;0,0407;0,0408;-0,0140;0,0597;0,0025;0,0622
31/07/2026, 15:20;H;10,0000;0,0631;0,0620;-0,1729;0,0632;0,0621;0,1756;0,0028;0,0023;0,0051
31/07/2026, 15:20;SCRT;10,0000;0,0300;0,0299;-0,0167;0,0300;0,0300;0,0100;-0,0067;0,0000;-0,0067
31/07/2026, 15:21;XPIN;10,0000;0,0016;0,0016;-0,0193;0,0016;0,0016;0,0064;-0,0129;0,0027;-0,0102
01/08/2026, 18:58;IDOL;33,9900;0,0164;0,0242;16,2678;0,0164;0,0243;-16,3640;-0,0962;0,0615;-0,0347
01/08/2026, 19:00;ARCSOL;12,3785;0,0528;0,0522;-0,1361;0,0529;0,0525;0,1146;-0,0215;0,1193;0,0978
02/08/2026, 19:13;LAB;61,8998;0,1456;0,1390;-2,8391;0,1458;0,1391;2,8445;0,0054;0,1902;0,1956
04/08/2026, 10:55;FARTCOIN;35,0000;0,1260;0,1302;1,1723;0,1260;0,1303;-1,1889;-0,0166;0,0717;0,0551
04/08/2026, 17:25;MYX;58,8800;0,0748;0,0780;2,5340;0,0752;0,0784;-2,5457;-0,0117;0,0633;0,0516
04/08/2026, 17:53;BTW;34,9600;0,1282;0,1322;1,0964;0,1281;0,1322;-1,1103;-0,0139;0,1001;0,0863
